"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"TFDP1"	-0.00922549029126172	7.49084189300412	-0.195988751148243	0.844781625545485	0.990602318971353	-6.17712511690647
"RNF44"	-0.00922941192787766	7.42559176954733	-0.277078761266905	0.781953544059738	0.984928947007205	-6.15865498058512
"UPP2"	-0.00923663800277451	5.53526197530864	-0.279031720940356	0.780456153950503	0.984837906751643	-6.15813210597049
"LGR6"	-0.00923975381414681	5.64490251028807	-0.348576401496304	0.727707060196489	0.981194537933578	-6.13712073567303
"ADAM5"	-0.00924018307905707	3.53606604938272	-0.262444304746157	0.793199724964296	0.986654361991774	-6.16245633277543
"AC007386.2"	-0.00927070735090125	5.18114098765432	-0.268117854372408	0.788834477063047	0.986543449255969	-6.16100707001366
"IVL"	-0.00927207004160924	6.23488049382716	-0.279809937339504	0.779859701011014	0.984837906751643	-6.15792272801853
"GCK"	-0.00928868723994436	6.48476082304527	-0.298756664376191	0.7653792686087	0.984725154457649	-6.15264534235471
"ISYNA1"	-0.00928925381414703	8.26856399176955	-0.22633427076685	0.82113038766772	0.987847993450531	-6.17095430166976
"CIB4"	-0.00929066851594984	4.98969744855967	-0.198940319688383	0.842474622806715	0.990393314069804	-6.17656382866872
"OR4K14"	-0.00929372607489616	4.61385995884774	-0.24985509512228	0.802909031945596	0.987185715890098	-6.16556151470019
"PTMS"	-0.00930011650485411	8.99547802469136	-0.207440473476115	0.835838402350937	0.990393314069804	-6.17490053223601
"HMG20B"	-0.00931789389736446	7.18068234567901	-0.226991255495625	0.820620057707341	0.987710827273861	-6.17081089922712
"LUZP4"	-0.00932855617198343	3.87929222222222	-0.253917405179987	0.799772589099001	0.986832545024729	-6.16457619690303
"LINC00670"	-0.00933948335644945	3.63705835390946	-0.186670477614994	0.852073669969605	0.991112094821499	-6.17884209984929
"UNC45B"	-0.00935765811373063	5.10366205761317	-0.322754049677538	0.747157117236862	0.982012060332574	-6.14546541698646
"FIGNL2"	-0.00938503952843268	6.66511880658436	-0.274344818593528	0.784051101620217	0.98541508026663	-6.15938078621461
